date,price_usd,price_eur
2025-04-17 10:03:03.153,84444.83113819316,74253.35335778691
2025-04-17 11:04:41.285,84338.83914942484,74242.88973136463
2025-04-17 12:07:07.341,84671.31259746742,74538.86596155369
2025-04-17 13:04:42.015,84752.81095552155,74597.39013558712
2025-04-17 14:04:33.231,84551.43324382056,74431.81040460066
2025-04-17 15:04:53.536,84116.88582337098,74112.78047551165
2025-04-17 16:03:54.434,84521.25838113441,74390.03322402135
2025-04-17 17:01:35.119,84896.92624338971,74793.00346345892
2025-04-17 18:06:44.836,85130.287718885,74994.33514192369
2025-04-17 19:04:57.605,85099.49107256206,74813.94108407684
2025-04-17 20:06:36.814,84850.50910583472,74610.83451745169
2025-04-17 21:04:57.436,85111.67393566275,74840.48223678091
2025-04-17 22:04:56.201,85056.76185615391,74792.19689211513
2025-04-17 23:02:19.439,84837.31546385802,74599.2330709951
2025-04-18 00:07:17.344,84946.9167296784,74695.60776565754
2025-04-18 01:04:53.827,84812.66058743586,74577.55352040468
2025-04-18 02:05:02.404,84932.22254470258,74682.68686023043
2025-04-18 03:09:09.142,84877.16175933217,74634.27075537773
2025-04-18 04:04:45.550,84819.48188695368,74583.551632318
2025-04-18 05:04:45.687,84693.92576511695,74473.1474977084
2025-04-18 06:04:56.822,84680.34688547385,74461.20730368176
2025-04-18 07:09:09.932,84719.19044705047,74495.36326309087
2025-04-18 08:04:34.493,84641.30564762019,74426.87752337103
2025-04-18 09:06:39.364,84627.54918136004,74414.78117370268
2025-04-18 10:04:50.059,84546.0386285242,74343.10723287253
2025-04-18 11:09:30.139,84498.7745773988,74301.5469601729
2025-04-18 12:04:45.084,84593.66315889767,74384.98448254507
2025-04-18 13:07:32.287,84618.69491163455,74406.99542839342
2025-04-18 14:04:59.488,84543.30063719767,74340.69965960129
2025-04-18 15:03:49.491,84541.69566568747,74339.28837444796
2025-04-18 16:06:10.557,84382.34027186113,74199.16383019321
2025-04-18 17:07:26.835,84455.82994619277,74263.78484411618
2025-04-18 18:04:51.703,84543.02354629472,74340.45600775142
2025-04-18 19:03:48.592,84599.59333023877,74390.1990067389
2025-04-18 20:07:34.135,84535.96965601825,74334.25337389961
2025-04-18 21:04:55.138,84495.66839467015,74298.81562846976
2025-04-18 22:04:56.604,84589.93551188768,74381.7066842486
2025-04-18 23:04:09.563,84507.5553544359,74309.26808181792
2025-04-19 00:04:50.927,84447.77718147618,74256.70387899282
2025-04-19 01:04:52.944,84430.13416891031,74241.19000754038
2025-04-19 02:04:53.988,84537.56876723397,74335.65950597294
2025-04-19 03:04:39.291,84750.96113857607,74523.29989933384
2025-04-19 04:04:54.282,84873.33303095314,74630.90407411075
2025-04-19 05:04:56.887,85039.73101895596,74777.22131931939
2025-04-19 06:06:55.197,85065.22675131068,74799.64025218926
2025-04-19 07:09:28.012,84928.93649119227,74679.79736437168
2025-04-19 08:04:38.713,85188.51899516837,74908.05371135044
2025-04-19 09:04:47.420,85315.77967080926,75019.95669591568
2025-04-19 10:04:57.504,85348.12052038811,75048.39468410819
2025-04-19 11:04:51.582,85222.96773135632,74938.34520850396
2025-04-19 12:04:38.460,85196.3572478893,74914.94605157127
2025-04-19 13:00:52.596,85277.07094440877,74985.91929990846
2025-04-19 14:04:39.991,85450.83762577904,75138.71599193766
2025-04-19 15:09:26.840,85405.39779525725,75098.75979472339
2025-04-19 16:04:54.075,85216.9255110766,74933.03215732539
2025-04-19 17:04:48.535,84884.07476220753,74640.34950397909
2025-04-19 18:04:47.543,85152.68414164294,74876.5433721136
2025-04-19 19:04:57.549,85145.76108784041,74870.45578552091
2025-04-19 20:01:54.415,85081.67948116116,74814.10748305412
2025-04-19 21:04:53.819,85202.13526291905,74920.02678152524
2025-04-19 22:04:51.622,85317.39798374778,75021.3797124671
2025-04-19 23:04:56.247,85246.71284128349,74959.22478231024
2025-04-20 00:04:53.780,85089.15978095334,74820.68506774769
2025-04-20 01:04:39.515,85136.60177429907,74862.40180877844
2025-04-20 02:04:32.423,85279.66518510957,74988.20047023572
2025-04-20 03:04:45.251,85234.9939190133,74948.92008786071
2025-04-20 04:04:13.788,85143.828498931,74868.7564195085
2025-04-20 05:01:40.936,85195.6725951446,74914.34402203513
2025-04-20 06:01:18.578,85100.82279248716,74830.9405987126
2025-04-20 07:04:37.355,84950.9007313259,74699.11098197023
2025-04-20 08:04:51.704,84777.37613360975,74546.52715918186
2025-04-20 09:04:14.804,84631.43686608228,74418.19969652033
2025-04-20 10:04:43.986,84530.86583852716,74329.76547999955
2025-04-20 11:04:51.487,84160.54490886752,74004.1345098103
2025-04-20 12:04:46.210,84093.83367559967,73945.47392146199
2025-04-20 13:04:47.251,84347.36438378347,74168.40879731285
2025-04-20 14:04:30.800,84327.78944172559,74151.19613968758
2025-04-20 15:04:40.110,84612.56642329428,74401.60651989756
2025-04-20 16:04:44.724,84357.12486748009,74176.99139559748
2025-04-20 17:04:34.686,84598.16864692859,74388.9462527859
2025-04-20 18:04:48.198,84563.85942887008,74358.77743685347
2025-04-20 19:04:44.699,84561.23870595935,74356.47298016287
2025-04-20 20:04:45.731,84633.09631104583,74419.65888132511
2025-04-20 21:04:41.938,85074.9301477244,74653.59150434875
2025-04-20 22:04:19.496,85006.65839359477,74444.666094849
2025-04-20 23:04:46.701,84832.44738276633,74201.32990920545
2025-04-21 00:04:43.007,85140.01930346077,74370.4879817274
2025-04-21 01:04:51.516,86714.02766242875,75628.85322217451
2025-04-21 02:04:54.376,87278.3464593321,76054.43838300844
2025-04-21 03:00:49.371,87325.35908063866,75904.2500172001
